smass,color,sSFR,radius,hmass
8.7925,-0.2848,-16.913,0.0695,10.584
8.877500000000001,-0.2544,-16.739,0.1085,10.671999999999999
8.9625,-0.22399999999999998,-16.565,0.1475,10.759999999999998
9.0475,-0.1936,-16.391,0.1865,10.847999999999999
9.1325,-0.1632,-16.217,0.2255,10.936
9.217500000000001,-0.13279999999999997,-16.043,0.26449999999999996,11.024
9.3025,-0.10239999999999999,-15.869,0.3035,11.111999999999998
9.3875,-0.072,-15.695,0.3425,11.2
9.4725,-0.041599999999999984,-15.521,0.38149999999999995,11.288
9.557500000000001,-0.011199999999999988,-15.347000000000001,0.4205,11.376
9.6425,0.019199999999999995,-15.173,0.4595,11.463999999999999
9.7275,0.049600000000000005,-14.998999999999999,0.4985,11.552
9.8125,0.08000000000000002,-14.825,0.5375000000000001,11.64
9.8975,0.1104,-14.651,0.5765,11.727999999999998
9.9825,0.1408,-14.477,0.6155,11.815999999999999
10.067499999999999,0.17120000000000002,-14.303,0.6545000000000001,11.904
10.1525,0.20160000000000003,-14.129000000000001,0.6935,11.991999999999999
10.2375,0.23200000000000004,-13.955,0.7325,12.079999999999998
10.3225,0.2624,-13.781,0.7715000000000001,12.168
10.407499999999999,0.2928,-13.607,0.8105,12.256
10.4925,0.3232,-13.433,0.8495,12.344
10.5775,0.35359999999999997,-13.259,0.8885000000000001,12.431999999999999
10.662500000000001,0.384,-13.085,0.9275,12.52
10.747499999999999,0.41440000000000005,-12.911000000000001,0.9665,12.608
10.8325,0.44480000000000003,-12.737,1.0055,12.695999999999998
10.9175,0.4752,-12.562999999999999,1.0445,12.783999999999999
11.002500000000001,0.5055999999999999,-12.389,1.0835,12.872
11.0875,0.5359999999999999,-12.215,1.1225,12.96
11.1725,0.5664,-12.041,1.1615000000000002,13.047999999999998
11.2575,0.5968000000000001,-11.867,1.2005,13.136
11.342500000000001,0.6272000000000001,-11.693000000000001,1.2395,13.224
11.4275,0.6576000000000001,-11.519000000000002,1.2785000000000002,13.312
11.5125,0.6880000000000001,-11.344999999999999,1.3175,13.399999999999999
11.5975,0.7184,-11.171,1.3565,13.488
11.682500000000001,0.7488,-10.997,1.3955000000000002,13.576
11.7675,0.7792,-10.823,1.4344999999999999,13.663999999999998
11.8525,0.8096,-10.649000000000001,1.4735,13.751999999999999
11.9375,0.84,-10.475000000000001,1.5125000000000002,13.84
12.0225,0.8704,-10.301000000000002,1.5514999999999999,13.928
12.107500000000002,0.9007999999999999,-10.127,1.5905,14.015999999999998
12.192499999999999,0.9311999999999999,-9.953,1.6295000000000002,14.104
12.2775,0.9615999999999999,-9.779,1.6684999999999999,14.192
12.3625,0.9919999999999999,-9.605,1.7075,14.28
12.447500000000002,1.0223999999999998,-9.431000000000001,1.7465000000000002,14.367999999999999
12.532499999999999,1.0528,-9.257000000000001,1.7854999999999999,14.456
12.6175,1.0832000000000002,-9.083000000000002,1.8245,14.544
12.7025,1.1136,-8.909,1.8635000000000002,14.631999999999998
12.787500000000001,1.1440000000000001,-8.735,1.9024999999999999,14.719999999999999
12.872499999999999,1.1743999999999999,-8.561,1.9415,14.808
12.9575,1.2048,-8.387,1.9805000000000001,14.896
